date_from,date_to,country_code,destination_country,count
2021-12-20,2021-12-26,84,USA,29218
2021-12-20,2021-12-26,95,CAN,3402
2021-12-20,2021-12-26,96,DEU,37878
2021-12-20,2021-12-26,102,GBR,9539
2021-12-20,2021-12-26,113,AUT,3103
2021-12-20,2021-12-26,114,BEL,2317
2021-12-20,2021-12-26,115,BGR,6196
2021-12-20,2021-12-26,116,HUN,4806
2021-12-20,2021-12-26,117,LTU,6672
2021-12-20,2021-12-26,118,NLD,9315
2021-12-20,2021-12-26,119,NOR,2652
2021-12-20,2021-12-26,120,POL,19148
2021-12-20,2021-12-26,121,SVK,1359
2021-12-20,2021-12-26,122,SVN,806
2021-12-20,2021-12-26,123,FIN,14696
2021-12-20,2021-12-26,124,FRA,11962
2021-12-20,2021-12-26,125,CZE,8181
2021-12-20,2021-12-26,126,CHE,2663
2021-12-20,2021-12-26,127,SWE,9234
2021-12-20,2021-12-26,159,KAZ,647542
2021-12-20,2021-12-26,167,AZE,17072
2021-12-20,2021-12-26,168,ARM,20908
2021-12-20,2021-12-26,169,GEO,15177
2021-12-20,2021-12-26,171,UZB,71581
2021-12-20,2021-12-26,179,EST,7700
2021-12-20,2021-12-26,180,SRB,3941
2021-12-20,2021-12-26,181,ISR,13548
2021-12-20,2021-12-26,204,ESP,12622
2021-12-20,2021-12-26,205,ITA,9396
2021-12-20,2021-12-26,206,LVA,9162
2021-12-20,2021-12-26,207,KGZ,69895
2021-12-20,2021-12-26,209,TJK,55174
2021-12-20,2021-12-26,210,ARE,13254
2021-12-20,2021-12-26,211,AUS,985
2021-12-20,2021-12-26,246,GRC,3822
2021-12-20,2021-12-26,983,TUR,36531
2021-12-20,2021-12-26,994,IND,27505
2021-12-20,2021-12-26,995,THA,17086
2021-12-20,2021-12-26,1056,EGY,19557
2021-12-20,2021-12-26,10074,PRT,1658
2021-12-20,2021-12-26,10077,ROU,2132
2021-12-20,2021-12-26,10083,HRV,1353
2021-12-20,2021-12-26,20574,CYP,5655
2021-12-20,2021-12-26,21610,MNE,2317
2021-12-27,2022-01-02,84,USA,24771
2021-12-27,2022-01-02,95,CAN,3104
2021-12-27,2022-01-02,96,DEU,34939
2021-12-27,2022-01-02,102,GBR,7920
2021-12-27,2022-01-02,113,AUT,3362
2021-12-27,2022-01-02,114,BEL,2591
2021-12-27,2022-01-02,115,BGR,7626
2021-12-27,2022-01-02,116,HUN,7585
2021-12-27,2022-01-02,117,LTU,6796
2021-12-27,2022-01-02,118,NLD,8302
2021-12-27,2022-01-02,119,NOR,2146
2021-12-27,2022-01-02,120,POL,19060
2021-12-27,2022-01-02,121,SVK,1926
2021-12-27,2022-01-02,122,SVN,1258
2021-12-27,2022-01-02,123,FIN,12453
2021-12-27,2022-01-02,124,FRA,10361
2021-12-27,2022-01-02,125,CZE,8592
2021-12-27,2022-01-02,126,CHE,2456
2021-12-27,2022-01-02,127,SWE,7734
2021-12-27,2022-01-02,159,KAZ,484206
2021-12-27,2022-01-02,167,AZE,15591
2021-12-27,2022-01-02,168,ARM,19184
2021-12-27,2022-01-02,169,GEO,14790
2021-12-27,2022-01-02,171,UZB,57705
2021-12-27,2022-01-02,179,EST,8124
2021-12-27,2022-01-02,180,SRB,8336
2021-12-27,2022-01-02,181,ISR,11923
2021-12-27,2022-01-02,204,ESP,13224
2021-12-27,2022-01-02,205,ITA,8029
2021-12-27,2022-01-02,206,LVA,9743
2021-12-27,2022-01-02,207,KGZ,60217
2021-12-27,2022-01-02,209,TJK,53982
2021-12-27,2022-01-02,210,ARE,17816
2021-12-27,2022-01-02,211,AUS,1822
2021-12-27,2022-01-02,246,GRC,6107
2021-12-27,2022-01-02,983,TUR,52210
2021-12-27,2022-01-02,994,IND,6339
2021-12-27,2022-01-02,995,THA,20259
2021-12-27,2022-01-02,1056,EGY,20896
2021-12-27,2022-01-02,10074,PRT,1511
2021-12-27,2022-01-02,10077,ROU,4282
2021-12-27,2022-01-02,10083,HRV,2504
2021-12-27,2022-01-02,20574,CYP,5871
2021-12-27,2022-01-02,21610,MNE,2755
2022-01-03,2022-01-09,84,USA,25946
2022-01-03,2022-01-09,95,CAN,3117
2022-01-03,2022-01-09,96,DEU,39232
2022-01-03,2022-01-09,102,GBR,8104
2022-01-03,2022-01-09,113,AUT,3886
2022-01-03,2022-01-09,114,BEL,2802
2022-01-03,2022-01-09,115,BGR,10525
2022-01-03,2022-01-09,116,HUN,9760
2022-01-03,2022-01-09,117,LTU,9067
2022-01-03,2022-01-09,118,NLD,8369
2022-01-03,2022-01-09,119,NOR,2601
2022-01-03,2022-01-09,120,POL,24196
2022-01-03,2022-01-09,121,SVK,1875
2022-01-03,2022-01-09,122,SVN,2037
2022-01-03,2022-01-09,123,FIN,13633
2022-01-03,2022-01-09,124,FRA,11794
2022-01-03,2022-01-09,125,CZE,9625
2022-01-03,2022-01-09,126,CHE,2849
2022-01-03,2022-01-09,127,SWE,9198
